id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-3,2800,DN50,83.596524,1,3268140.5344000002,3.5110540080000003
1,producers-1,forks-1,800,DN30,47.871782,1,294040.98960000003,0.7659485120000001
2,forks-1,forks-0,1800,DN30,23.527399,1,508222.6137,0.846986364
3,forks-0,consumers-1,1500,DN30,22.680412,1,419072.163,0.68041236
4,forks-1,forks-2,2200,DN30,23.578435,1,621553.9495,1.0374511400000002
5,forks-2,consumers-2,1200,DN30,22.540984,1,334672.13279999996,0.5409836160000001
6,forks-0,forks-3,3200,,0.0,0,0.0,0.0
7,forks-3,forks-2,2100,,0.0,0,0.0,0.0
8,forks-3,forks-4,2800,DN50,80.08547,1,3248478.6319999998,3.3635897400000005
9,forks-4,consumers-3,3100,DN30,23.454158,1,874477.6143,1.454157796
10,forks-4,forks-5,2400,DN50,53.267722,1,2655685.0656000003,1.917637992
11,forks-5,forks-6,2500,DN50,51.350084,1,2756750.4200000004,1.92562815
12,forks-6,forks-7,1900,DN30,24.537578,1,543174.8937,0.932427964
13,forks-7,consumers-4,3400,DN30,23.60515,1,960901.2849999999,1.6051502000000002
14,forks-6,consumers-0,5800,DN30,24.886878,1,1665203.6234,2.8868778479999997
