Line_ID,Total_Line_Loading_Violations,Timestamps_Line_Loading,Percent_Time_Line_Loading,Total_Trafo_Violations,Timestamps_Trafo,Total_Bus_Strict_Violations,Timestamps_Bus_Strict,Total_Bus_Soft_Violations,Timestamps_Bus_Soft,Total_All_Violations,Timestamps_Any_Violation
10,535,269,80.05952380952381,0,0,2879,334,0,0,3414,334
11,396,201,59.82142857142857,0,0,1546,199,0,0,1942,201
1,157,157,46.726190476190474,0,0,3062,319,0,0,3219,319
0,156,156,46.42857142857143,0,0,3283,312,0,0,3439,312
14,156,80,23.809523809523807,0,0,195,51,0,0,351,80
3,0,0,0.0,0,0,0,0,0,0,0,0
2,0,0,0.0,0,0,0,0,0,0,0,0
6,0,0,0.0,0,0,0,0,0,0,0,0
5,0,0,0.0,0,0,0,0,0,0,0,0
4,0,0,0.0,0,0,0,0,0,0,0,0
7,0,0,0.0,0,0,0,0,0,0,0,0
9,0,0,0.0,0,0,0,0,0,0,0,0
8,0,0,0.0,0,0,0,0,0,0,0,0
12,0,0,0.0,0,0,0,0,0,0,0,0
13,0,0,0.0,0,0,0,0,0,0,0,0
