id,from_node,to_node,length
0,producers-0,forks-0,400
1,forks-0,forks-10,300
2,forks-10,producers-4,450
3,forks-10,consumers-7,250
4,forks-0,forks-1,500
5,forks-1,forks-6,300
6,forks-6,consumers-5,350
7,forks-1,forks-2,400
8,forks-2,forks-7,350
9,forks-7,forks-11,250
10,forks-11,consumers-2,300
11,forks-2,forks-3,350
12,forks-3,consumers-1,200
13,forks-3,consumers-0,250
14,forks-3,forks-8,300
15,forks-8,forks-4,250
16,forks-4,producers-2,200
17,forks-4,forks-13,300
18,forks-13,consumers-9,350
19,forks-13,forks-14,200
20,forks-14,producers-1,300
21,forks-8,forks-9,300
22,forks-9,forks-12,350
23,forks-12,consumers-6,250
24,forks-12,consumers-8,300
25,forks-9,forks-5,250
26,forks-5,producers-3,350
27,forks-5,consumers-3,200
28,forks-10,consumers-4,350
