id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-2,885,DN30,132.954507,1,1120329.4773900001,2.3532947739000005
2,forks-0,forks-1,1292,DN30,26.246329,1,1359820.5141359998,0.6782051413600001
3,forks-0,forks-2,2238,DN30,27.476162,-1,2360983.3011120004,1.22983301112
4,forks-2,forks-3,1238,DN30,103.12505,1,1493337.6238,2.553376238
5,forks-3,forks-4,2224,DN30,42.845761,1,2414577.944928,1.9057794492800004
6,forks-3,forks-5,1757,DN30,27.311671,1,1852973.2118940002,0.9597321189400001
7,forks-5,forks-6,1512,DN30,26.351938,1,1591688.260512,0.7968826051200001
8,forks-1,consumers-2,1111,DN30,25.568124,1,1167812.371528,0.56812371528
9,forks-3,consumers-3,681,DN30,30.414242,1,722424.1976040001,0.41424197604000007
10,forks-4,consumers-0,1148,DN30,20.469991,1,1194999.0993360002,0.46999099336000005
11,forks-4,consumers-1,1148,DN30,20.469991,1,1194999.0993360002,0.46999099336000005
12,forks-6,consumers-4,1086,DN30,25.555056,1,1141505.5816320002,0.5550558163200001
