id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-2,885,DN30,132.954507,1,795494.216085,2.3532947739000005
2,forks-0,forks-1,1292,DN30,26.246329,1,747730.771204,0.6782051413600001
3,forks-0,forks-2,2238,DN30,27.476162,-1,1303474.951668,1.22983301112
4,forks-2,forks-3,1238,DN30,103.12505,1,1002006.4357000001,2.553376238
5,forks-3,forks-4,2224,DN30,42.845761,1,1397866.917392,1.9057794492800004
6,forks-3,forks-5,1757,DN30,27.311671,1,1022459.817841,0.9597321189400001
7,forks-5,forks-6,1512,DN30,26.351938,1,875532.390768,0.7968826051200001
8,forks-1,consumers-2,1111,DN30,25.568124,1,640718.557292,0.56812371528
9,forks-3,consumers-3,681,DN30,30.414242,1,402636.296406,0.41424197604000007
10,forks-4,consumers-0,1148,DN30,20.469991,1,644498.649004,0.46999099336000005
11,forks-4,consumers-1,1148,DN30,20.469991,1,644498.649004,0.46999099336000005
12,forks-6,consumers-4,1086,DN30,25.555056,1,626258.372448,0.5550558163200001
