id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-2,885,DN50,102.357089,1,226465.0594125,1.3587903564750001
1,producers-1,forks-0,2404,DN50,26.896004,1,161644.98404,0.96986990424
2,forks-0,forks-1,1292,DN50,25.926134,1,83741.41282,0.50244847692
4,forks-2,forks-3,1238,DN50,100.998299,1,312589.735405,1.87553841243
5,forks-3,forks-4,2224,DN50,42.105509,1,234106.63004,1.40463978024
6,forks-3,forks-5,1757,DN50,26.707639,1,117313.3043075,0.7038798258450001
7,forks-5,forks-6,1512,DN50,26.003759,1,98294.20902,0.58976525412
8,forks-1,consumers-2,1111,DN50,25.423686,1,70614.28786499999,0.42368572719
9,forks-3,consumers-3,681,DN50,30.309613,1,51602.1161325,0.30961269679500003
10,forks-4,consumers-0,1148,DN50,20.350434,1,58405.74558,0.35043447348
11,forks-4,consumers-1,1148,DN50,20.350434,1,58405.74558,0.35043447348
12,forks-6,consumers-4,1086,DN50,25.413994,1,68998.99371,0.41399396225999996
