id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-2,885,DN50,131.699095,1,1118107.3981499998,1.7483054861249998
1,producers-1,forks-0,2404,,0.0,0,0.0,0.0
2,forks-0,forks-1,1292,DN30,26.246329,1,377085.89973799995,0.6782051413600001
3,forks-0,forks-2,2238,DN30,27.476162,-1,662820.7769459999,1.22983301112
4,forks-2,forks-3,1238,DN50,102.474628,1,1491727.178928,1.90295384196
5,forks-3,forks-4,2224,DN30,42.845761,1,778311.403624,1.9057794492800004
6,forks-3,forks-5,1757,DN30,27.311671,1,519353.12081449997,0.9597321189400001
7,forks-5,forks-6,1512,DN30,26.351938,1,441854.455896,0.7968826051200001
8,forks-1,consumers-2,1111,DN30,25.568124,1,321621.650174,0.56812371528
9,forks-3,consumers-3,681,DN30,30.414242,1,208692.34580699998,0.41424197604000007
10,forks-4,consumers-0,1148,DN30,20.469991,1,311848.423838,0.46999099336000005
11,forks-4,consumers-1,1148,DN30,20.469991,1,311848.423838,0.46999099336000005
12,forks-6,consumers-4,1086,DN30,25.555056,1,314334.767856,0.5550558163200001
