id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-0,20,pipe-typ-A,115.072631,1,4602.90524,0.023014526200000003
1,producers-1,forks-5,20,pipe-typ-A,86.049421,1,3441.97684,0.0172098842
2,forks-0,forks-1,10,pipe-typ-A,33.013204,1,660.26408,0.0033013204
3,forks-1,forks-2,20,pipe-typ-A,33.009902,1,1320.39608,0.0066019804000000005
4,forks-2,forks-3,20,,0.0,0,0.0,0.0
5,forks-3,forks-4,10,pipe-typ-A,25.005001,-1,500.10002,0.0025005001000000006
6,forks-4,forks-5,10,pipe-typ-A,61.014703,-1,1220.29406,0.0061014703
7,forks-5,forks-6,30,pipe-typ-A,25.017509,1,1501.05054,0.0075052527
8,forks-6,forks-7,30,pipe-typ-A,25.010003,1,1500.6001800000001,0.007503000900000002
9,forks-7,forks-8,30,,0.0,0,0.0,0.0
10,forks-8,forks-9,20,pipe-typ-A,12.003601,-1,480.14404,0.0024007202
11,forks-9,forks-10,10,pipe-typ-A,12.004801,-1,240.09602,0.0012004801000000001
12,forks-10,forks-0,30,pipe-typ-A,82.036413,-1,4922.18478,0.024610923899999998
13,forks-2,consumers-0,10,pipe-typ-A,15.0015,1,300.03,0.00150015
14,forks-2,consumers-1,10,pipe-typ-A,18.0018,1,360.036,0.00180018
15,forks-3,consumers-2,10,pipe-typ-A,25.0025,1,500.05,0.0025002500000000003
16,forks-4,consumers-3,10,pipe-typ-A,36.0036,1,720.072,0.00360036
17,forks-7,consumers-4,10,pipe-typ-A,25.0025,1,500.05,0.0025002500000000003
18,forks-8,consumers-5,10,pipe-typ-A,12.0012,1,240.024,0.0012001200000000003
19,forks-10,consumers-7,10,pipe-typ-A,20.002,1,400.03999999999996,0.0020002
20,forks-10,consumers-6,10,pipe-typ-A,50.005001,1,1000.10002,0.0050005001
