id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-0,335,DN40,1000.0,1,809440.3999999999,30.0696
1,forks-0,consumers-0,223,DN25,328.151762,1,297302.448673639,11.15176164871
2,forks-0,forks-1,240,DN30,621.033543,1,446093.8173899616,17.2830440256
3,forks-1,consumers-1,223,DN30,603.750499,1,406595.02425449673,15.75049890216
4,forks-1,forks-2,360,,0.0,0,0.0,0.0
5,forks-2,consumers-4,223,DN30,547.751476,1,380996.56942390226,14.75147633184
6,producers-1,forks-3,560,,0.0,0,0.0,0.0
7,forks-3,forks-2,448,DN25,192.725149,-1,457366.10509544186,17.24649367392
8,forks-2,consumers-2,1112,DN40,1173.758849,1,3037008.0098106717,112.75884928589602
9,forks-2,consumers-3,559,DN25,90.670493,1,439135.0442913985,16.670493474895
10,forks-1,forks-4,1330,,0.0,0,0.0,0.0
11,forks-5,forks-4,223,DN40,1000.0,-1,538821.5199999999,20.01648
12,forks-5,consumers-8,2230,DN25,440.886483,1,3552739.2053752565,132.88648285265
13,forks-5,consumers-5,223,DN25,268.011809,1,266376.7359712057,10.011808839595002
14,forks-5,consumers-6,445,DN25,170.282095,1,431273.39640485897,16.282095243375
15,forks-4,producers-3,560,DN40,1000.0,-1,1353094.4,50.265600000000006
16,forks-4,producers-4,560,,0.0,0,0.0,0.0
17,forks-2,producers-2,223,DN50,2554.55411,-1,1085810.45364144,33.846428326499996
18,forks-2,consumers-9,390,DN30,515.801713,1,640774.5300233315,24.8017134456
19,forks-3,consumers-7,445,DN25,175.478655,1,436605.85788129095,16.478655125375
