id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-0,335,DN50,2880.17748,1,1810920.3831583997,56.29972279
1,forks-0,consumers-0,223,DN30,550.0,1,382024.422,14.79159
2,forks-0,forks-1,240,DN50,2492.086168,1,1143877.9211673597,35.677034016
3,forks-1,consumers-1,223,DN30,603.750499,1,406595.02425449673,15.75049890216
4,forks-1,forks-2,360,DN50,1852.658635,1,1336457.3149728,42.005855430000004
5,forks-2,consumers-4,223,DN30,550.0,1,382024.422,14.79159
6,producers-1,forks-3,560,,0.0,0,0.0,0.0
7,forks-3,forks-2,448,,0.0,0,0.0,0.0
8,forks-2,consumers-2,1112,DN50,1151.782719,1,2843759.7680541445,90.7827191764
9,forks-2,consumers-3,559,DN30,550.0,1,957630.726,37.07847
